"semaine";"AMIENS";"ANGERS LA BAUMETTE";"ANGLET (PONT DE L'AVEUGLE No2)";"AQUAVARA";"AUXERRE - APPOIGNY";"BASTIA-SUD";"BESANCON - PORT-DOUVOT";"BONNEUIL-EN-FRANCE";"BORDEAUX (LOUIS FARGUE 2)";"CANNES";"CAP SICIE - AMPHITRIA";"CARCASSONNE NOUVELLE";"CARRE DE REUNION";"CHALON SUR SAONE-PORT BAROIS";"CLERMONT-FERRAND";"CRAN-GEVRIER - SILOE";"DIJON";"EVRY CENTRE-CAECE";"GRANDE-SYNTHE";"GRENOBLE / AQUAPOLE";"LA BAULE-ESCOUBLAC-GUERANDE LIVERY";"LA ROCHELLE";"LAGNY-SUR-MARNE ST THIBAULT-DES-VIGNES";"LE HAVRE";"LENS LOISON SOUS LENS";"LESCAR";"LILLE-MARQUETTE-LEZ-LILLE";"LIMOGES";"LMM_LE MANS - LA CHAUVINIERE";"LYON - SAINT FONS";"MAERA (EX CEREIREDE)";"MARSEILLE";"MAXEVILLE";"METZ";"MONDEVILLE";"NANTES 1-TOUGAS";"NICE-HALIOTIS";"NIMES";"ORLEANS LA CHAPELLE-SAINT-MESMIN";"PARIS MARNE AVAL";"PARIS SEINE-AMONT";"PARIS SEINE-CENTRE";"POITIERS LA FOLIE";"REIMS";"RENNES";"ROUBAIX-WATTRELOS";"ROUEN";"SAINT-BRIEUC LE LEGUE";"SAINT-ETIENNE - FURANIA";"SAUSHEIM";"STEU DE: BREST (ZONE-PORTUAIRE)";"STRASBOURG - LA WANTZENAU";"TOULOUSE GINESTOUS";"TOURS, LA RICHE LA GRANGE DAVID";"VALENCIENNES";"National_12";"National_54"
"2022-S40";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13311,5890963285;NA;NA;14175,7474613904;NA;NA;NA;NA;NA;5672,96543340513;NA;NA;NA;NA;NA;7003,76723796308;10908,2163405525;NA;NA;7534,93770415906;NA;NA;12572,1954728193;NA;NA;10001,9055375953;NA;NA;7937,80463710561;5527,93013740971;8277,24738715874;NA;NA;NA;NA;NA;9077,45225927544;NA;NA;9034,53909648613;NA
"2022-S41";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12077,5819440715;NA;NA;17118,4231398971;NA;NA;NA;NA;NA;7694,3939033514;NA;NA;NA;NA;NA;9275,67137929288;10899,6258328124;NA;NA;7659,44223179843;NA;NA;14071,6171887646;NA;NA;10369,7940743728;NA;NA;9344,66325035354;5258,0278519682;10311,6798269748;NA;NA;NA;NA;NA;9068,82556802176;NA;NA;10059,9887057515;NA
"2022-S42";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11055,8865310978;NA;NA;15468,7913056344;NA;NA;NA;NA;NA;10435,5661222121;NA;NA;NA;NA;NA;11038,0846389298;9365,5367335643;NA;NA;7873,98202515443;NA;NA;12111,2127086916;NA;NA;10076,6378903001;NA;NA;8660,94697860712;4689,02538481043;10482,2020469797;NA;NA;NA;NA;NA;8648,64211383047;NA;NA;10004,4224436946;NA
"2022-S43";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10391,9432512801;NA;NA;12781,5819269826;NA;NA;NA;NA;NA;13378,5048253201;NA;NA;NA;NA;NA;12518,2023585046;7874,98736917314;NA;NA;8146,1133438518;NA;NA;10047,7584655492;NA;NA;8495,48052124965;NA;NA;7658,51452799208;4254,28879446312;10052,8417501764;NA;NA;NA;NA;NA;7948,9856404823;NA;NA;9565,95767697775;NA
"2022-S44";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9898,01146855964;NA;NA;9258,5372925259;NA;NA;NA;NA;NA;14806,5470503332;NA;NA;NA;NA;NA;13481,8384984175;7411,19991778838;NA;NA;9040,32488703052;NA;NA;8243,16876631741;NA;NA;7131,98612678233;NA;NA;7066,30903918062;4026,38935689368;9027,25781677563;NA;NA;NA;NA;NA;7615,95067609532;NA;NA;9113,52204398998;NA
"2022-S45";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9744,34896408706;NA;NA;8294,51076269042;NA;NA;NA;NA;NA;14824,175033961;NA;NA;NA;NA;NA;14947,1063574269;7425,09019363255;NA;NA;10544,7544560729;NA;NA;8628,0873100344;NA;NA;7284,86100487;NA;NA;7429,71369929376;4578,21835553016;8349,87291112246;NA;NA;NA;NA;NA;9533,38581526337;NA;NA;9765,39330573475;NA
"2022-S46";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10181,4432891297;NA;NA;8072,91599940483;NA;NA;NA;NA;NA;14011,4867346957;NA;NA;NA;NA;NA;16304,1374697153;8573,42727442378;NA;NA;12480,6522523115;NA;NA;9731,34077067362;NA;NA;7816,95052251971;NA;NA;8236,87177909476;5526,03150740383;7997,33676134138;NA;NA;NA;NA;NA;12751,688096284;NA;NA;10885,9801664783;NA
"2022-S47";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12308,5748288931;NA;NA;10830,9385030754;NA;NA;NA;NA;NA;12927,5344780122;NA;NA;NA;NA;NA;17821,4829551687;10389,6754377363;NA;NA;15540,0927973022;NA;NA;13128,5964063861;NA;NA;9541,04967073953;NA;NA;9896,44372227562;7868,90917980636;9792,53723475241;NA;NA;NA;NA;NA;19023,8390397422;NA;NA;13444,6603445671;NA
"2022-S48";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14873,3768178874;NA;NA;14608,0362265215;NA;NA;NA;NA;NA;11582,9749759967;NA;NA;NA;NA;NA;18550,5793526077;13411,388366311;NA;NA;18371,3016507911;NA;NA;17583,798665066;NA;NA;11094,6584422157;NA;NA;12341,1348423171;10887,7716664904;12148,6432892149;NA;NA;NA;NA;NA;26874,8186438559;NA;NA;16337,9511448797;NA
"2022-S49";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16152,1758050512;NA;NA;16933,5185801977;NA;NA;NA;NA;NA;11088,3007307023;NA;NA;NA;NA;NA;18363,5587965218;16654,493005946;NA;NA;18686,9671114914;NA;NA;19775,0770096348;NA;NA;11795,2633516855;NA;NA;17311,802268777;12877,3987616166;13856,4407858418;NA;NA;NA;NA;NA;32029,1482696317;NA;NA;18118,4609048652;NA
